City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
529,Tatui,BR,79.65,overcast clouds,-23.3556,-47.8569,Hostel Brigadeiro Jordao
542,Mbandaka,CD,88.72,scattered clouds,0.0487,18.2603,Guest House Epervier
547,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
548,Wamba,NG,94.37,few clouds,8.9333,8.6,Roma Zee Guest House Annex
549,Mbanza-Ngungu,CD,75.04,moderate rain,-5.25,14.8667,Hotel Full Business
550,Cartagena,CO,85.62,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
551,Batouri,CM,92.44,overcast clouds,4.4333,14.3667,Hotel Hollywood
555,Sosua,DO,78.53,overcast clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
557,Kuantan,MY,78.91,few clouds,3.8077,103.326,Hotel Sentral Kuantan
560,Belmonte,BR,86.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
561,Dudhani,IN,81.63,clear sky,17.3667,76.3667,Laxmi kirana store
564,Huarmey,PE,75.7,overcast clouds,-10.0681,-78.1522,Hotel Miramar
566,Ahero,KE,80.58,light rain,-0.1746,34.9163,Jesmic Hotel
568,Sao Raimundo Das Mangabeiras,BR,89.24,light rain,-7.0219,-45.4811,Hotel Tropical
570,Moerai,PF,78.35,light rain,-22.4333,-151.3333,Le Manotel
574,Malakal,SS,86.18,overcast clouds,9.5334,31.6605,Nile Palace Hotel
576,Sungairaya,ID,76.68,heavy intensity rain,0.7,108.9,Mess P.Milu
578,Santarem,BR,84.33,scattered clouds,-2.4431,-54.7083,Hotel Imperador
579,Bosaso,SO,76.5,clear sky,11.2842,49.1816,Red Sea Hotel
580,Bonthe,SL,87.03,clear sky,7.5264,-12.505,Bonthe Holiday Village
582,Necochea,AR,78.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
583,Brazzaville,CG,86.36,few clouds,-4.2658,15.2832,Hotel Muesse
587,Gambo,CF,93.88,overcast clouds,4.6482,22.2633,
